,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
0,2015-01-02,Shot,Gun,53.0,Male,Asian,Shelton,Washington,True,Attack,Not fleeing,False,-123.12200000000001,47.247,True
1,2015-01-02,Shot,Gun,47.0,Male,"White, non-Hispanic",Aloha,Oregon,False,Attack,Not fleeing,False,-122.89200000000001,45.486999999999995,True
2,2015-01-03,Shot and Tasered,Unarmed,23.0,Male,Hispanic,Wichita,Kansas,False,Other,Not fleeing,False,-97.281,37.695,True
3,2015-01-04,Shot,Toy Weapon,32.0,Male,"White, non-Hispanic",San Francisco,California,True,Attack,Not fleeing,False,-122.42200000000001,37.763000000000005,True
4,2015-01-04,Shot,Nail Gun,39.0,Male,Hispanic,Evans,Colorado,False,Attack,Not fleeing,False,-104.69200000000001,40.384,True
5,2015-01-04,Shot,Gun,18.0,Male,"White, non-Hispanic",Guthrie,Oklahoma,False,Attack,Not fleeing,False,-97.42299999999999,35.876999999999995,True
6,2015-01-05,Shot,Gun,22.0,Male,Hispanic,Chandler,Arizona,False,Attack,Car,False,-111.84100000000001,33.328,True
7,2015-01-06,Shot,Gun,35.0,Male,"White, non-Hispanic",Assaria,Kansas,False,Attack,Not fleeing,False,-97.564,38.704,True
8,2015-01-06,Shot,Unarmed,34.0,Female,"White, non-Hispanic",Burlington,Iowa,False,Other,Not fleeing,True,-91.119,40.809,True
9,2015-01-06,Shot,Toy Weapon,47.0,Male,"Black, non-Hispanic",Knoxville,Pennsylvania,False,Attack,Not fleeing,False,-79.991,40.413000000000004,True
10,2015-01-06,Shot and Tasered,Knife,25.0,Male,"White, non-Hispanic",Stockton,California,False,Attack,Not fleeing,False,-121.29899999999999,37.93,True
11,2015-01-07,Shot,Gun,31.0,Male,"Black, non-Hispanic",Freeport,Texas,False,Attack,Not fleeing,False,-95.369,28.955,True
12,2015-01-07,Shot,Knife,41.0,Male,"Black, non-Hispanic",Columbus,Ohio,True,Other,Not fleeing,False,-82.885,39.999,True
13,2015-01-07,Shot,Gun,30.0,Male,"White, non-Hispanic",Des Moines,Iowa,False,Attack,Car,False,-93.609,41.582,True
14,2015-01-07,Shot,Gun,37.0,Male,"Black, non-Hispanic",New Orleans,Louisiana,False,Attack,Foot,True,-90.012,30.022,True
15,2015-01-08,Shot,,28.0,Male,"White, non-Hispanic",Huntley,Montana,False,,Not fleeing,False,-108.315,45.858999999999995,True
16,2015-01-08,Shot,Shovel,42.0,Male,"White, non-Hispanic",Salt Lake City,Utah,False,Attack,Not fleeing,True,-111.87200000000001,40.772,True
17,2015-01-08,Shot,Unarmed,36.0,Male,"Black, non-Hispanic",Strong,Arkansas,False,Attack,Not fleeing,False,-92.359,33.111,True
18,2015-01-08,Shot,Gun,49.0,Male,"White, non-Hispanic",Syracuse,Utah,False,Attack,Not fleeing,True,-112.083,41.083,True
19,2015-01-09,Shot,Gun,71.0,Male,"White, non-Hispanic",England,Arkansas,False,Attack,Not fleeing,False,-91.96600000000001,34.542,True
20,2015-01-09,Shot,Gun,33.0,Male,Hispanic,El Paso,Texas,False,Attack,Not fleeing,False,-106.439,31.858,True
